266: {{-1,0},{-1,-1},{0,2},{1,3},{3,2},{1,-1}}
268: {{1,1},{-1,-2},{0,-1},{-3,2},{2,-1},{3,2}}
270: {{-1,0},{1,3},{0,-1},{-1,1},{1,-2},{2,1}}
272: {{-2,-1},{1,1},{2,-1},{1,2},{-1,3},{0,-1}}
274: {{3,-2},{-1,0},{-2,1},{2,1},{0,-1},{1,2}}
276: {{-2,1},{-1,0},{1,1},{2,1},{1,-1},{3,-2}}
278: {{0,1},{1,1},{1,0},{-2,1},{2,-3},{-1,-3}}
280: {{-1,-3},{2,0},{1,2},{0,-2},{-1,2},{2,1}}
282: {{-3,2},{1,-2},{-2,1},{-1,0},{3,2},{1,-1}}
284: {{-1,-1},{2,1},{2,0},{2,-3},{1,2},{-2,1}}
286: {{-1,-2},{0,1},{2,3},{1,0},{-1,1},{1,-3}}
288: {{-3,-1},{1,1},{-1,2},{1,2},{1,-1},{2,0}}
290: {{2,-1},{-1,2},{1,2},{1,3},{0,-1},{-2,-1}}
292: {{2,0},{-1,-1},{1,-2},{2,1},{2,3},{-2,1}}
294: {{3,2},{1,1},{1,-2},{0,1},{-1,0},{-2,-1}}
296: {{-3,1},{1,2},{1,-1},{2,-1},{0,-1},{1,3}}
298: {{-1,2},{0,-1},{-1,-1},{1,3},{1,0},{3,1}}
300: {{1,0},{0,2},{1,1},{-3,-2},{-1,2},{2,1}}
302: {{1,-1},{-1,-3},{-1,2},{0,1},{1,0},{3,2}}
304: {{3,1},{-2,3},{0,-1},{2,1},{1,-1},{-1,0}}
306: {{2,1},{1,0},{0,-1},{2,3},{-1,-1},{-1,2}}
308: {{-1,-1},{1,2},{3,1},{-2,1},{0,1},{1,-1}}
310: {{1,-2},{-1,0},{1,3},{-3,-1},{1,1},{0,1}}
312: {{2,1},{-1,0},{1,3},{1,1},{-1,-2},{2,-1}}
314: {{-2,-1},{1,1},{1,2},{3,2},{-1,1},{1,-2}}
316: {{-2,3},{-1,-1},{1,2},{3,2},{2,-1},{-1,0}}
318: {{0,-2},{2,0},{3,3},{-3,2},{-1,2},{3,-1}}
320: {{0,-1},{-1,-2},{1,0},{-1,3},{1,1},{2,3}}
322: {{-1,-3},{1,0},{-1,2},{1,2},{-1,3},{3,1}}
324: {{1,1},{0,2},{-3,1},{-2,-1},{2,-1},{1,2}}
326: {{-1,-2},{1,3},{-1,1},{2,-1},{0,1},{1,0}}
328: {{-1,0},{-1,2},{0,-1},{3,-1},{2,1},{1,2}}
330: {{1,1},{-1,-2},{2,1},{1,-1},{-2,1},{3,-1}}
332: {{-1,2},{2,2},{0,-2},{-1,0},{3,-1},{2,1}}
334: {{1,0},{-2,-3},{-1,2},{2,-1},{3,2},{0,1}}
336: {{0,2},{1,0},{-2,-1},{-2,3},{1,-1},{2,2}}
338: {{2,3},{1,2},{-2,1},{0,1},{1,-2},{-1,-1}}
340: {{1,-2},{-2,1},{1,2},{1,1},{-1,0},{-1,3}}
342: {{1,0},{1,-2},{0,-1},{-2,1},{2,1},{2,3}}
344: {{1,2},{1,1},{3,-1},{0,1},{-2,-1},{2,-1}}
346: {{-1,0},{3,-1},{-3,-1},{-1,2},{1,1},{1,3}}
348: {{2,3},{1,0},{2,1},{-1,1},{1,-2},{-2,1}}
350: {{0,1},{1,-1},{1,3},{-1,2},{-2,-1},{1,0}}
352: {{1,-2},{3,1},{0,-1},{2,1},{1,0},{-2,1}}
354: {{-2,0},{1,1},{2,1},{1,3},{-2,3},{0,-2}}
356: {{-3,1},{1,-2},{1,2},{1,1},{2,-1},{1,3}}
358: {{-1,3},{2,3},{0,1},{1,-2},{-2,-1},{1,0}}
360: {{-1,2},{2,1},{2,-1},{-1,1},{3,1},{0,-3}}
362: {{2,1},{1,-2},{-2,1},{-1,-1},{2,0},{3,1}}
364: {{1,1},{-2,1},{2,-3},{1,-1},{0,1},{2,1}}
366: {{1,-1},{-1,2},{1,3},{-3,-1},{-1,0},{2,1}}
368: {{-1,0},{-3,-1},{1,2},{1,-1},{1,1},{-2,1}}
370: {{0,-3},{-2,1},{1,3},{2,-3},{1,2},{3,1}}
372: {{2,-1},{0,2},{3,0},{1,3},{-1,2},{-1,-1}}
374: {{-2,1},{-3,-1},{1,-3},{1,7},{3,3},{5,3}}
376: {{1,3},{-1,-1},{0,1},{-2,1},{1,2},{1,-1}}
378: {{2,0},{2,-1},{-2,-1},{-1,1},{3,1},{1,3}}
380: {{-2,-1},{1,2},{3,2},{1,0},{0,2},{3,-2}}
382: {{1,3},{2,0},{-7,1},{0,-4},{4,5},{7,1}}
384: {{0,-1},{-3,1},{1,2},{1,0},{-2,1},{1,1}}
386: {{0,1},{1,-2},{1,2},{-3,-1},{-1,3},{2,1}}
388: {{2,-1},{1,3},{1,2},{-1,-1},{-1,1},{1,0}}
390: {{2,1},{3,2},{1,-2},{-3,-1},{1,2},{0,1}}
392: {{-1,-1},{0,1},{1,-1},{-1,2},{2,1},{1,3}}
394: {{1,7},{2,2},{-1,1},{-7,-4},{-1,3},{5,-1}}
396: {{0,2},{-1,1},{1,2},{-1,-1},{1,0},{2,1}}
398: {{-1,-3},{3,1},{2,3},{2,0},{-3,3},{3,-1}}
400: {{2,1},{-1,2},{3,-1},{-1,1},{1,2},{0,-2}}
402: {{-1,3},{1,1},{0,1},{-2,0},{1,2},{2,-3}}
404: {{-1,-3},{1,0},{1,2},{3,2},{1,-1},{-1,3}}
408: {{-1,0},{2,1},{1,1},{2,-1},{1,-2},{0,1}}
410: {{4,5},{5,-3},{-5,-3},{3,3},{1,5},{-1,3}}
412: {{4,-3},{-3,-4},{4,2},{3,3},{-4,6},{6,1}}
416: {{-7,6},{7,4},{2,3},{-6,-7},{1,2},{-3,2}}
418: {{3,4},{3,6},{2,-1},{2,-6},{1,0},{-5,3}}
420: {{2,-1},{0,-1},{1,1},{-1,2},{-1,1},{1,2}}
422: {{1,0},{-1,2},{2,-3},{-3,1},{1,3},{2,2}}
424: {{2,3},{3,-2},{-2,-2},{-1,2},{-1,1},{1,3}}
428: {{-4,3},{4,0},{3,7},{1,1},{-7,-6},{2,3}}
